Household tasks

Bathroom tasks,Recurrence,Last done,Last done by,Assigned to,Next due
Scrub tiles,Every 6 weeks,18 Mar 2007,sermoa,Household,29 Apr 2007
Clean and disinfect bin,Every 8 weeks,08 Mar 2007,littlebluefish,Household,03 May 2007
Sweep floor,Every 4 days,08 May 2007,sermoa,sermoa,12 May 2007
Clean sink,Every week,05 May 2007,sermoa,Household,12 May 2007
Wash shower curtain,Every 6 weeks,05 Apr 2007,littlebluefish,littlebluefish,17 May 2007
Wash floor,Every 3 months,18 Feb 2007,sermoa,Household,18 May 2007
Clean toilet,Every 2 weeks,05 May 2007,littlebluefish,sermoa,19 May 2007
Clean & scrub bath,Every 2 weeks,05 May 2007,littlebluefish,sermoa,19 May 2007
Clean bathroom mirror,Every 2 weeks,05 May 2007,sermoa,Household,19 May 2007
Dust shelves,Every 3 weeks,06 May 2007,sermoa,Household,27 May 2007


Bedroom tasks,Recurrence,Last done,Last done by,Assigned to,Next due
Change bedclothes,Every 2 weeks,24 Apr 2007,sermoa,littlebluefish,12 May 2007
"Vacuum, turn & air mattress",Every 2 weeks,24 Apr 2007,sermoa,littlebluefish,12 May 2007
Vacuum floor,Every week,06 May 2007,sermoa,littlebluefish,13 May 2007
Dust surfaces,Every 2 weeks,29 Apr 2007,sermoa,littlebluefish,13 May 2007


General tasks,Recurrence,Last done,Last done by,Assigned to,Next due
Water plants,Every 3 days,07 May 2007,sermoa,Household,10 May 2007
Put out recycling,Every 2 weeks (Tuesday),08 May 2007,sermoa,Household,22 May 2007
Empty vacuum cleaner,Every 4 weeks,24 Apr 2007,sermoa,Household,22 May 2007
Take bottles to bottle bank,Every 3 weeks,05 May 2007,littlebluefish,Household,26 May 2007
Take meter readings,Every month,01 May 2007,sermoa,sermoa,01 Jun 2007
water cactusses,Every month,"","",Household,15 Mar 2008


Kitchen tasks,Recurrence,Last done,Last done by,Assigned to,Next due
Clean cupboards inside,Every 3 months,04 Nov 2006,sermoa,Household,26 Feb 2007
Clean little sink,Every 3 days,08 May 2007,sermoa,sermoa,11 May 2007
Vacuum floor,Every 4 days,08 May 2007,sermoa,sermoa,12 May 2007
Wipe out the oven,Every 5 days,23 Apr 2007,sermoa,sermoa,12 May 2007
Clean the tiles,Every 3 weeks,23 Apr 2007,sermoa,sermoa,14 May 2007
Clean out toaster,Every 3 weeks,24 Apr 2007,sermoa,Household,15 May 2007
Wipe draining rack,Every week,08 May 2007,sermoa,sermoa,15 May 2007
Wipe down cupboard fronts,Every month,18 Apr 2007,sermoa,Household,18 May 2007
Wipe appliances,Every 10 days,09 May 2007,sermoa,sermoa,19 May 2007
Wipe fridge inside,Every 3 weeks,06 May 2007,sermoa,sermoa,27 May 2007
Clean sink & draining rack,Every 2 months,28 Mar 2007,sermoa,sermoa,28 May 2007
Clean the bin,Every 4 weeks,02 May 2007,sermoa,littlebluefish,30 May 2007
Descale the kettle,Every 2 months,06 Apr 2007,littlebluefish,Household,06 Jun 2007
Change water filter,Every 6 weeks,28 Apr 2007,littlebluefish,littlebluefish,09 Jun 2007
Disinfect fridge- door & shelf,Every 3 months,20 Mar 2007,sermoa,sermoa,20 Jun 2007
Disinfect fridge lower shelves,Every 3 months,14 Apr 2007,sermoa,sermoa,14 Jul 2007
Clean cutlery drawer,Every 4 months,23 Apr 2007,sermoa,sermoa,23 Aug 2007
Properly clean the oven,Every 4 months,07 May 2007,sermoa,sermoa,07 Sep 2007
Clean out bread bin,Every 4 months,07 May 2007,sermoa,Household,07 Sep 2007


Living room tasks,Recurrence,Last done,Last done by,Assigned to,Next due
Dust surfaces,Every 2 weeks,29 Apr 2007,sermoa,littlebluefish,13 May 2007
Vacuum floor,Every week,06 May 2007,sermoa,littlebluefish,13 May 2007


Study tasks,Recurrence,Last done,Last done by,Assigned to,Next due
Vacuum floor,Every week,06 May 2007,sermoa,littlebluefish,13 May 2007
Dust surfaces,Every 9 days,05 May 2007,littlebluefish,littlebluefish,14 May 2007


Suzie tasks,Recurrence,Last done,Last done by,Assigned to,Next due
Check Suzie's health,Every week,04 May 2007,sermoa,Household,11 May 2007
Clean & disinfect cage,Every week,05 May 2007,sermoa,Household,12 May 2007





